"Date","Period","Capacity"
37803,1,0
37803,2,0
37803,3,0
37803,4,0
37803,5,0
37803,6,0
37803,7,0
37803,8,0
37803,9,0
37803,10,0
37803,11,0
37803,12,0
37803,13,0
37803,14,0
37803,15,0
37803,16,0
37803,17,0
37803,18,0.0295160055
37803,19,0.059032011
37803,20,0.100928772
37803,21,0.142825533
37803,22,0.1977925455
37803,23,0.252759558
37803,24,0.257690266
37803,25,0.262620974
37803,26,0.231064389
37803,27,0.199507804
37803,28,0.188729483
37803,29,0.177951162
37803,30,0.1697454905
37803,31,0.161539819
37803,32,0.097436735
37803,33,0.033333651
37803,34,0.0166668255
37803,35,0
37803,36,0
37803,37,0
37803,38,0
37803,39,0
37803,40,0
37803,41,0
37803,42,0
37803,43,0
37803,44,0
37803,45,0
37803,46,0
37803,47,0
37803,48,0
37804,1,0
37804,2,0
37804,3,0
37804,4,0
37804,5,0
37804,6,0
37804,7,0
37804,8,0
37804,9,0
37804,10,0
37804,11,0
37804,12,0
37804,13,0
37804,14,0
37804,15,0
37804,16,0
37804,17,0
37804,18,0.0295160055
37804,19,0.059032011
37804,20,0.100928772
37804,21,0.142825533
37804,22,0.1977925455
37804,23,0.252759558
37804,24,0.257690266
37804,25,0.262620974
37804,26,0.231064389
37804,27,0.199507804
37804,28,0.188729483
37804,29,0.177951162
37804,30,0.1697454905
37804,31,0.161539819
37804,32,0.097436735
37804,33,0.033333651
37804,34,0.0166668255
37804,35,0
37804,36,0
37804,37,0
37804,38,0
37804,39,0
37804,40,0
37804,41,0
37804,42,0
37804,43,0
37804,44,0
37804,45,0
37804,46,0
37804,47,0
37804,48,0
37805,1,0
37805,2,0
37805,3,0
37805,4,0
37805,5,0
37805,6,0
37805,7,0
37805,8,0
37805,9,0
37805,10,0
37805,11,0
37805,12,0
37805,13,0
37805,14,0
37805,15,0
37805,16,0.0279789375
37805,17,0.055957875
37805,18,0.0991493285
37805,19,0.142340782
37805,20,0.1849317775
37805,21,0.227522773
37805,22,0.245572169
37805,23,0.263621565
37805,24,0.3227977405
37805,25,0.381973916
37805,26,0.389771468
37805,27,0.39756902
37805,28,0.3430546885
37805,29,0.288540357
37805,30,0.241161279
37805,31,0.193782201
37805,32,0.11679182
37805,33,0.039801439
37805,34,0.0199007195
37805,35,0
37805,36,0
37805,37,0
37805,38,0
37805,39,0
37805,40,0
37805,41,0
37805,42,0
37805,43,0
37805,44,0
37805,45,0
37805,46,0
37805,47,0
37805,48,0
37806,1,0
37806,2,0
37806,3,0
37806,4,0
37806,5,0
37806,6,0
37806,7,0
37806,8,0
37806,9,0
37806,10,0
37806,11,0
37806,12,0
37806,13,0
37806,14,0
37806,15,0
37806,16,0.0311526805
37806,17,0.062305361
37806,18,0.178154189
37806,19,0.294003017
37806,20,0.3656112895
37806,21,0.437219562
37806,22,0.4632507965
37806,23,0.489282031
37806,24,0.480326754
37806,25,0.471371477
37806,26,0.467372012
37806,27,0.463372547
37806,28,0.4392924825
37806,29,0.415212418
37806,30,0.3484083155
37806,31,0.281604213
37806,32,0.1690127835
37806,33,0.056421354
37806,34,0.028210677
37806,35,0
37806,36,0
37806,37,0
37806,38,0
37806,39,0
37806,40,0
37806,41,0
37806,42,0
37806,43,0
37806,44,0
37806,45,0
37806,46,0
37806,47,0
37806,48,0
37807,1,0
37807,2,0
37807,3,0
37807,4,0
37807,5,0
37807,6,0
37807,7,0
37807,8,0
37807,9,0
37807,10,0
37807,11,0
37807,12,0
37807,13,0
37807,14,0
37807,15,0
37807,16,0.029749952
37807,17,0.059499904
37807,18,0.1297646095
37807,19,0.200029315
37807,20,0.2740764085
37807,21,0.348123502
37807,22,0.363824236
37807,23,0.37952497
37807,24,0.4005320245
37807,25,0.421539079
37807,26,0.403461736
37807,27,0.385384393
37807,28,0.3813129955
37807,29,0.377241598
37807,30,0.3222504705
37807,31,0.267259343
37807,32,0.159497778
37807,33,0.051736213
37807,34,0.0258681065
37807,35,0
37807,36,0
37807,37,0
37807,38,0
37807,39,0
37807,40,0
37807,41,0
37807,42,0
37807,43,0
37807,44,0
37807,45,0
37807,46,0
37807,47,0
37807,48,0
37808,1,0
37808,2,0
37808,3,0
37808,4,0
37808,5,0
37808,6,0
37808,7,0
37808,8,0
37808,9,0
37808,10,0
37808,11,0
37808,12,0
37808,13,0
37808,14,0
37808,15,0
37808,16,0.0297357765
37808,17,0.059471553
37808,18,0.156421366
37808,19,0.253371179
37808,20,0.333550602
37808,21,0.413730025
37808,22,0.3936934115
37808,23,0.373656798
37808,24,0.376178811
37808,25,0.378700824
37808,26,0.3988063725
37808,27,0.418911921
37808,28,0.413406571
37808,29,0.407901221
37808,30,0.3493289385
37808,31,0.290756656
37808,32,0.1752125095
37808,33,0.059668363
37808,34,0.0298341815
37808,35,0
37808,36,0
37808,37,0
37808,38,0
37808,39,0
37808,40,0
37808,41,0
37808,42,0
37808,43,0
37808,44,0
37808,45,0
37808,46,0
37808,47,0
37808,48,0
37809,1,0
37809,2,0
37809,3,0
37809,4,0
37809,5,0
37809,6,0
37809,7,0
37809,8,0
37809,9,0
37809,10,0
37809,11,0
37809,12,0
37809,13,0
37809,14,0
37809,15,0
37809,16,0.011954912
37809,17,0.023909824
37809,18,0.0689910945
37809,19,0.114072365
37809,20,0.1792416225
37809,21,0.24441088
37809,22,0.277955662
37809,23,0.311500444
37809,24,0.32909848
37809,25,0.346696516
37809,26,0.326036001
37809,27,0.305375486
37809,28,0.3008509455
37809,29,0.296326405
37809,30,0.254834455
37809,31,0.213342505
37809,32,0.1382779955
37809,33,0.063213486
37809,34,0.032350152
37809,35,0.001486818
37809,36,0.000743409
37809,37,0
37809,38,0
37809,39,0
37809,40,0
37809,41,0
37809,42,0
37809,43,0
37809,44,0
37809,45,0
37809,46,0
37809,47,0
37809,48,0
37810,1,0
37810,2,0
37810,3,0
37810,4,0
37810,5,0
37810,6,0
37810,7,0
37810,8,0
37810,9,0
37810,10,0
37810,11,0
37810,12,0
37810,13,0
37810,14,0
37810,15,0
37810,16,0.0188128045
37810,17,0.037625609
37810,18,0.1274319055
37810,19,0.217238202
37810,20,0.277340995
37810,21,0.337443788
37810,22,0.3482534335
37810,23,0.359063079
37810,24,0.3551783985
37810,25,0.351293718
37810,26,0.3125973345
37810,27,0.273900951
37810,28,0.2221138185
37810,29,0.170326686
37810,30,0.1468139815
37810,31,0.123301277
37810,32,0.0730662645
37810,33,0.022831252
37810,34,0.011415626
37810,35,0
37810,36,0
37810,37,0
37810,38,0
37810,39,0
37810,40,0
37810,41,0
37810,42,0
37810,43,0
37810,44,0
37810,45,0
37810,46,0
37810,47,0
37810,48,0
37811,1,0
37811,2,0
37811,3,0
37811,4,0
37811,5,0
37811,6,0
37811,7,0
37811,8,0
37811,9,0
37811,10,0
37811,11,0
37811,12,0
37811,13,0
37811,14,0
37811,15,0
37811,16,0.012718028
37811,17,0.025436056
37811,18,0.1229313095
