QTR,POP,GSP,RPE,BPE,TPE
36130,4629.345,57147.34096,14.41326275,11.68786873,12.41101179
36220,4645.152,57346.8311,14.41326275,11.68786873,12.41101179
36312,4652.462,58280.48543,14.3497682,11.63638032,12.35633773
36404,4665.626,57794.83981,14.37648545,11.75800582,12.45278073
36495,4677.581,59601.1184,14.29326411,11.68994211,12.38069517
36586,4695.56,59917.01465,14.1702231,11.58931133,12.27411817
36678,4704.065,60972.02714,14.06929559,11.50676638,12.18669567
36770,4718.436,59936.63807,15.27556761,12.30085734,13.09015279
36861,4730.855,59056.9438,15.23377399,12.26720246,13.05433842
36951,4753.725,60406.34824,15.06886169,12.1344046,12.91301946
37043,4763.615,61534.05759,14.94750173,12.03667785,12.80902199
37135,4776.052,61586.34356,16.60875235,14.39986613,14.98596148
37226,4790.212,62062.17177,16.45455969,14.26618037,14.84683451
37316,4808.94,62852.85651,16.30320369,14.13495401,14.71026705
37408,4817.774,64793.62816,16.19678591,14.0426893,14.61424703
37500,4830.383,65476.97428,16.64118601,11.48488975,12.85303683
37591,4845.024,65719.99914,16.53396187,11.41088918,12.77022087
37681,4864.214,64520.06387,16.32360612,11.26571247,12.60774987
37773,4873.809,64752.9627,16.32360612,11.26571247,12.60774987
37865,4887.826,66536.74244,16.21308653,11.57799902,12.80785106
37956,4900.176,67268.32685,16.13151125,11.51974494,12.74340904
38047,4918.07,68555.42972,15.99071253,11.41919854,12.63218228
38139,4927.149,67795.51286,15.91135415,11.36252758,12.56949155
38231,4943.359,69058.25882,15.78779328,11.02131236,12.2860277
38322,4957.147,70607.88939,15.67156413,10.94017387,12.19557842
38412,4978.342,69282.96032,15.55703382,10.86022132,12.10645117
38504,4989.246,71939.90364,15.46286291,10.79448148,12.03316756
38596,5006.241,71377.64016,15.33541206,11.07198325,12.20322114
38687,5023.203,71570.10371,15.262212,11.01913369,12.14497187
38777,5048.207,71354.34194,15.13577948,10.92785093,12.04436264
38869,5061.266,72570.91418,14.88909623,10.74974858,11.84806337
38961,5083.593,74389.3342,14.93242641,10.70470661,11.82646964
39052,5103.965,73854.72731,14.9496694,10.7170677,11.84012607
39142,5134.074,74587.78676,14.9496694,10.7170677,11.84012607
39234,5153.522,74779.15173,14.76215929,10.5826461,11.69161822
39326,5178.515,76214.29624,16.02879989,11.49228425,12.69598169
39417,5199.503,76873.58246,15.8848825,11.38909875,12.58198859
39508,5233,77568.25982,15.67378771,11.2377486,12.41478609
39600,5256.375,76717.86148,15.45134313,11.07826091,12.23859371
39692,5286.549,75855.73884,17.2899545,11.94798819,13.36540008
39783,5313.285,77947.90588,17.34609072,11.98678036,13.40879424
39873,5347.672,78180.81895,17.32733819,11.97382168,13.39429824
39965,5371.934,79357.53633,17.25273178,11.92226593,13.33662634
40057,5398.874,77861.29487,19.74740143,12.72031726,14.58485029
40148,5419.249,79544.74398,19.64269623,12.65287125,14.5075181
40238,5445.172,78870.75623,19.45699847,12.53325377,14.3703672
40330,5461.101,80329.20491,19.33513835,12.4547574,14.2803649
40422,5478.71,79822.19497,22.10538584,13.81266486,16.01301594
40513,5495.711,80130.1237,22.01413554,13.75564664,15.94691474
40603,5520.378,80705.59707,21.70060767,13.55973713,15.71979693
40695,5537.817,81703.08425,21.50372716,13.43671532,15.5771778
40787,5560.503,81988.80007,23.25837457,14.47405414,16.80484387
40878,5582.67,82401.44798,23.25837457,14.47405414,16.80484387
