,Japan,NZ,UK ,US
1981Q1,14763,49140,45266,32316
1981Q2,9321,87467,19886,23721
1981Q3,10166,85841,24839,24533
1981Q4,19509,61882,52264,33438
1982Q1,17117,42045,53636,33527
1982Q2,10617,63081,34802,28366
1982Q3,11737,73275,31126,30856
1982Q4,20961,54808,53619,33293
1983Q1,20671,41030,43423,32472
1983Q2,12235,56155,23421,32369
1983Q3,14567,69395,29142,37476
1983Q4,24363,58423,51771,38112
1984Q1,23169,37039,44182,42553
1984Q2,16296,71564,24920,41277
1984Q3,18504,71260,27566,33056
1984Q4,29938,54597,48880,44472
1985Q1,30240,41646,49563,47792
1985Q2,20280,63668,23867,43070
1985Q3,20908,67803,25895,41116
1985Q4,36169,72177,54092,65428
1986Q1,37989,55192,54903,59377
1986Q2,32366,89073,26089,53283
1986Q3,28131,97746,28248,48510
1986Q4,47150,94696,66813,85878
1987Q1,51736,71130,61167,84130
1987Q2,38254,111416,32400,64347
1987Q3,53807,127619,33287,65976
1987Q4,71807,117078,72115,96165
1988Q1,80300,90498,81925,78609
1988Q2,79596,135435,42091,69306
1988Q3,88708,176899,46253,86267
1988Q4,103738,131457,90062,92738
1989Q1,94172,83029,84191,73321
1989Q2,76462,111748,48709,59819
1989Q3,88393,128510,46905,60868
1989Q4,90527,126021,93075,67761
1990Q1,119654,75584,81185,67637
1990Q2,106965,109472,53693,56153
1990Q3,128472,122164,48037,58783
1990Q4,124773,111222,94827,69018
1991Q1,119638,90067,79365,63235
1991Q2,115049,114050,52961,56691
1991Q3,140470,152662,42366,85473
1991Q4,153436,123821,89041,66332
1992Q1,166732,75376,87850,69861
1992Q2,141886,107369,57261,61501
1992Q3,160455,128550,51058,57869
1992Q4,160807,136250,93736,73632
1993Q1,178466,90758,95137,76323
1993Q2,151904,124972,55661,62718
1993Q3,168131,153153,56400,64731
1993Q4,172358,130393,103089,77495
1994Q1,191367,90095,100250,81428
1994Q2,158207,113799,57464,63554
1994Q3,183289,148605,61831,66505
1994Q4,188273,127879,115736,78190
1995Q1,196480,95295,112684,83047
1995Q2,174307,130073,64209,67448
1995Q3,214067,166383,59287,69234
1995Q4,197850,146632,111719,85160
1996Q1,227335,132410,108173,84995
1996Q2,174325,166735,64632,71005
1996Q3,219347,205120,64742,71412
1996Q4,192137,167569,129994,89483
1997Q1,223640,142502,126261,87405
1997Q2,167269,160522,65146,73061
1997Q3,227641,205250,74071,79986
1997Q4,195350,177366,145139,89141
1998Q1,205468,128179,143115,101167
1998Q2,168520,184943,82747,85384
1998Q3,200860,212263,78303,82586
1998Q4,176235,183996,163356,104760
1999Q1,193822,143015,160239,113860
1999Q2,154860,179577,81152,92494
1999Q3,188080,215732,107941,95001
1999Q4,170689,190461,179102,115704
2000Q1,192023,154537,161953,118840
2000Q2,154701,212401,105394,107313
2000Q3,182130,229048,107231,131833
2000Q4,192135,221071,205874,130100
2001Q1,193645,162480,184901,126702
2001Q2,156303,215840,107454,113471
2001Q3,186861,233074,121889,105239
2001Q4,136748,203493,202988,101058
2002Q1,177263,159879,206655,121127
2002Q2,158357,191215,95564,97016
2002Q3,183821,226008,115950,102261
2002Q4,196006,213000,224496,114103
2003Q1,176132,150700,196276,112908
2003Q2,102633,203400,107563,94212
2003Q3,156396,241800,125171,102961
2003Q4,192591,243200,243894,112039
2004Q1,185175,188873,205423,114017
2004Q2,153363,252262,111924,101065
2004Q3,181659,312956,125132,105884
2004Q4,190143,278709,233761,112335
2005Q1,193547,219527,235242,122725
2005Q2,135461,270782,105370,104542
2005Q3,176242,325633,131141,107725
2005Q4,180085,282908,237053,111286
2006Q1,189187,212323,224933,123608
2006Q2,128920,269964,116211,109865
2006Q3,163649,307149,123808,107787
2006Q4,169314,286361,269292,114824
2007Q1,165823,219885,231686,124677
2007Q2,111484,301654,108543,108089
2007Q3,149065,320737,122734,107738
2007Q4,146673,295727,226031,119189
2008Q1,136544,222770,230109,128066
2008Q2,88879,282076,107430,99471
2008Q3,121951,304979,115758,111243
2008Q4,109858,303481,218864,115636
2009Q1,106123,221287,210109,119158
2009Q2,65748,275761,113973,105507
2009Q3,88371,311431,116517,118979
2009Q4,95214,301983,223178,136094
2010Q1,109072,228162,213568,127535
2010Q2,71253,281791,99497,105974
2010Q3,117876,330812,108208,111615
2010Q4,99987,320897,225395,127002
2011Q1,92889,239103,188560,125264
2011Q2,53397,292072,110212,101814
2011Q3,96467,311994,107089,101925
2011Q4,89900,329470,202240,127150
2012Q1,98180,247910,194640,129520
2012Q2,59760,301880,92970,105700
2012Q3,101900,319840,101690,106540
