Day,Pageviews
4/30/14,1157
5/1/14,1118
5/2/14,1310
5/3/14,874
5/4/14,890
5/5/14,1437
5/6/14,1263
5/7/14,1187
5/8/14,1506
5/9/14,1448
5/10/14,1054
5/11/14,663
5/12/14,988
5/13/14,1241
5/14/14,1207
5/15/14,1288
5/16/14,1045
5/17/14,842
5/18/14,687
5/19/14,1136
5/20/14,1348
5/21/14,1241
5/22/14,1164
5/23/14,1029
5/24/14,909
5/25/14,650
5/26/14,1275
5/27/14,1203
5/28/14,1233
5/29/14,1014
5/30/14,1040
5/31/14,825
6/1/14,593
6/2/14,875
6/3/14,1096
6/4/14,1059
6/5/14,1105
6/6/14,949
6/7/14,652
6/8/14,546
6/9/14,762
6/10/14,1082
6/11/14,1305
6/12/14,1232
6/13/14,1089
6/14/14,735
6/15/14,775
6/16/14,1381
6/17/14,1320
6/18/14,1398
6/19/14,991
6/20/14,1052
6/21/14,669
6/22/14,422
6/23/14,779
6/24/14,1150
6/25/14,1001
6/26/14,1582
6/27/14,847
6/28/14,721
6/29/14,541
6/30/14,710
7/1/14,1649
7/2/14,919
7/3/14,1008
7/4/14,1000
7/5/14,465
7/6/14,448
7/7/14,721
7/8/14,1030
7/9/14,915
7/10/14,870
7/11/14,795
7/12/14,667
7/13/14,487
7/14/14,741
7/15/14,1030
7/16/14,1287
7/17/14,1061
7/18/14,971
7/19/14,549
7/20/14,509
7/21/14,1046
7/22/14,1514
7/23/14,1655
7/24/14,1489
7/25/14,1352
7/26/14,828
7/27/14,591
7/28/14,820
7/29/14,1409
7/30/14,1819
7/31/14,1243
8/1/14,1157
8/2/14,626
8/3/14,437
8/4/14,842
8/5/14,1118
8/6/14,985
8/7/14,983
8/8/14,871
8/9/14,591
8/10/14,533
8/11/14,937
8/12/14,1312
8/13/14,1412
8/14/14,1183
8/15/14,955
8/16/14,629
8/17/14,561
8/18/14,833
8/19/14,1067
8/20/14,987
8/21/14,976
8/22/14,1218
8/23/14,853
8/24/14,432
8/25/14,869
8/26/14,1152
8/27/14,944
8/28/14,947
8/29/14,847
8/30/14,626
8/31/14,558
9/1/14,2300
9/2/14,2469
9/3/14,1411
