"state","gender","legal","indigenous","date","count","t"
"NSW","Male","Remamded","ATSI","2005/03/01",355,2005-03-01
"NSW","Female","Remamded","ATSI","2005/03/01",51,2005-03-01
"NSW","Male","Sentenced","ATSI","2005/03/01",NA,2005-03-01
"NSW","Female","Sentenced","ATSI","2005/03/01",NA,2005-03-01
"NSW","Male","Sentenced","ATSI","2005/03/01",1240,2005-03-01
"NSW","Female","Sentenced","ATSI","2005/03/01",145,2005-03-01
"NSW","Male","Remamded","Other","2005/03/01",1400,2005-03-01
"NSW","Female","Remamded","Other","2005/03/01",124,2005-03-01
"NSW","Male","Sentenced","Other","2005/03/01",NA,2005-03-01
"NSW","Female","Sentenced","Other","2005/03/01",NA,2005-03-01
"NSW","Male","Sentenced","Other","2005/03/01",5062,2005-03-01
"NSW","Female","Sentenced","Other","2005/03/01",314,2005-03-01
"NSW","Male","Remamded","Other","2005/03/01",217,2005-03-01
"NSW","Female","Remamded","Other","2005/03/01",7,2005-03-01
"NSW","Male","Sentenced","Other","2005/03/01",NA,2005-03-01
"NSW","Female","Sentenced","Other","2005/03/01",NA,2005-03-01
"NSW","Male","Sentenced","Other","2005/03/01",94,2005-03-01
"NSW","Female","Sentenced","Other","2005/03/01",9,2005-03-01
"NSW","Male","Remamded","ATSI","2005/06/01",351,2005-06-01
"NSW","Female","Remamded","ATSI","2005/06/01",53,2005-06-01
"NSW","Male","Sentenced","ATSI","2005/06/01",NA,2005-06-01
"NSW","Female","Sentenced","ATSI","2005/06/01",NA,2005-06-01
"NSW","Male","Sentenced","ATSI","2005/06/01",1223,2005-06-01
"NSW","Female","Sentenced","ATSI","2005/06/01",135,2005-06-01
"NSW","Male","Remamded","Other","2005/06/01",1369,2005-06-01
"NSW","Female","Remamded","Other","2005/06/01",132,2005-06-01
"NSW","Male","Sentenced","Other","2005/06/01",NA,2005-06-01
"NSW","Female","Sentenced","Other","2005/06/01",NA,2005-06-01
"NSW","Male","Sentenced","Other","2005/06/01",5139,2005-06-01
"NSW","Female","Sentenced","Other","2005/06/01",315,2005-06-01
"NSW","Male","Remamded","Other","2005/06/01",255,2005-06-01
"NSW","Female","Remamded","Other","2005/06/01",6,2005-06-01
"NSW","Male","Sentenced","Other","2005/06/01",NA,2005-06-01
"NSW","Female","Sentenced","Other","2005/06/01",NA,2005-06-01
"NSW","Male","Sentenced","Other","2005/06/01",110,2005-06-01
