,Consumption,Income,Production,Savings,Unemployment
1960Q1,0.947823637,1.182497938,5.854555956,3.183292657,0.1
1960Q2,1.260476386,0.625614814,-2.193660711,-4.81376356,0
1960Q3,-0.400781004,0.176703138,-1.658109394,5.334598071,0.1
1960Q4,0.126736036,-0.041822534,-2.440186134,-1.307208157,1.1
1961Q1,-0.026390099,0.966727388,-1.525516857,9.291496908,0.3
1961Q2,1.477627094,1.512169338,3.888044434,2.135312447,0
1961Q3,0.487729914,1.319749804,3.140823012,8.112554481,-0.2
1961Q4,1.983307379,1.91022273,3.446415379,1.503787736,-0.7
1962Q1,1.059973583,0.952471374,1.482779497,0.637621714,-0.4
1962Q2,1.217640674,1.046812916,0.964360906,0,-0.1
1962Q3,0.810161029,0.519325616,1.060926287,-1.92519315,0.1
1962Q4,1.407028928,0.877983733,0.840710754,-3.293382167,-0.1
1963Q1,0.672068286,0.853514287,1.831598558,2.20759517,0.2
1963Q2,0.954375035,0.925525379,2.602751704,0.435730537,-0.1
1963Q3,1.355856553,1.098616029,0.665059131,-1.092907053,-0.1
1963Q4,0.829997028,1.619534825,1.676270182,8.223809824,0
1964Q1,1.951507018,1.94446107,1.359808697,2.59754864,-0.1
1964Q2,1.743280029,2.650175711,2.320294458,9.584795879,-0.2
1964Q3,1.819529327,1.281994806,1.589536258,-2.724964245,-0.1
1964Q4,0.282436198,1.129697642,1.503540032,7.621046964,-0.1
1965Q1,2.20536286,1.169428056,3.707575161,-6.158498042,-0.3
1965Q2,1.101762372,1.126343153,2.292127464,1.262415323,-0.1
1965Q3,1.707781286,2.705824353,2.072605156,10.69721196,-0.3
1965Q4,2.769458639,1.991196529,2.00302901,-3.27361474,-0.3
1966Q1,1.465020132,0.986163215,2.82383774,-1.847239764,-0.2
1966Q2,0.252783764,0.258091661,2.066749901,0.843886865,0
1966Q3,1.131666524,1.211758353,1.535674475,2.653555363,-0.1
1966Q4,0.411230315,1.153036468,0.950806209,7.562657533,0.1
1967Q1,0.578388817,1.479007207,-0.552387182,8.295663246,0
1967Q2,1.356058656,0.781280058,-0.408399869,-3.554034319,0.1
1967Q3,0.509594586,0.936798258,0.685525607,5.764069019,-0.1
1967Q4,0.606574341,0.722238128,2.64055286,2.429269257,0
1968Q1,2.349044181,1.693086629,1.417477615,-1.748531434,-0.1
1968Q2,1.513831225,1.655408188,1.338980931,3.597989698,0
1968Q3,1.860620601,0.243282217,0.77317394,-11.79466616,-0.3
1968Q4,0.450800482,0.679311981,1.506967761,3.473576425,0
1969Q1,1.112852091,0.203522575,1.926835073,-7.072165618,0
1969Q2,0.63848117,1.095014985,0.435311808,5.927660993,0.1
1969Q3,0.483237568,2.094125019,1.193334538,16.41722383,0.2
1969Q4,0.79558818,0.781643007,-0.628811001,1.574835697,-0.2
1970Q1,0.615986218,0.972261043,-2.452700312,4.810311502,0.9
1970Q2,0.46037569,1.169084717,-0.551525087,7.287992337,0.5
1970Q3,0.876791423,1.55327055,-0.358707862,7.289013063,0.5
1970Q4,-0.274245141,-0.255272381,-2.185454855,0.985229644,0.7
1971Q1,1.897370758,1.987153628,1.90973412,3.657770614,-0.1
1971Q2,0.911992909,1.447334175,0.901535843,6.051341804,-0.1
1971Q3,0.794538845,0.531811929,0.308019416,-0.445832214,0.1
1971Q4,1.648587467,1.160125137,2.291304415,-1.53087186,0
1972Q1,1.313722178,0.457011505,4.149573867,-4.35859438,-0.2
1972Q2,1.891474954,1.016624409,1.89062398,-5.054525795,-0.1
1972Q3,1.530714,1.904101264,1.273352897,5.809959038,-0.2
1972Q4,2.318294715,3.890258661,3.436892066,16.04471706,-0.3
1973Q1,1.81073916,0.708252663,2.799076357,-5.348868495,-0.3
1973Q2,-0.041739961,0.79430954,0.817688618,8.426034362,0
1973Q3,0.354235565,0.433818275,0.868996932,2.758795652,-0.1
1973Q4,-0.291632155,1.093809792,1.472961869,11.14642986,0.1
1974Q1,-0.877027936,-1.661684821,-0.882483578,-2.533514487,0.2
1974Q2,0.351135548,-0.938353209,0.074279194,-6.592644641,0.3
1974Q3,0.409597702,0.094487794,-0.41314971,0.51717884,0.5
1974Q4,-1.475808634,-0.122595985,-4.064118932,11.3433954,1.3
1975Q1,0.832257616,-0.163695461,-6.851039124,-5.476190695,1.4
1975Q2,1.65583461,4.536509557,-1.331295584,24.30960536,0.2
1975Q3,1.419420294,-1.463765323,2.424359723,-17.65616104,-0.4
1975Q4,1.054379319,0.761663507,2.169042084,0.648090408,-0.2
1976Q1,1.979980236,1.168257614,3.027204713,-2.95006644,-0.6
1976Q2,0.913916067,0.517299061,1.278811007,-1.474557549,0
1976Q3,1.055323256,0.733700255,1.303864873,-0.067544751,0
1976Q4,1.298898253,0.594583387,1.775377653,-3.576722386,0.2
1977Q1,1.136375865,-0.031080031,2.055160674,-9.160556577,-0.4
1977Q2,0.549940731,1.238089553,3.058385074,9.090504035,-0.2
1977Q3,0.949852624,1.518802926,1.103088875,7.944957186,-0.4
1977Q4,1.49599724,1.914562403,0.633468496,6.696276475,-0.4
1978Q1,0.57549599,0.702666874,-0.293390562,2.922963831,-0.1
1978Q2,2.111209598,0.983141318,3.948152635,-6.811142586,-0.4
1978Q3,0.417962788,0.719926198,0.871147014,4.792071621,0.1
