"NSWMetro","NSWNthCo","NSWSthCo","NSWSthIn","NSWNthIn","QLDMetro","QLDCntrl","QLDNthCo","SAUMetro","SAUCoast","SAUInner","VICMetro","VICWstCo","VICEstCo","VICInner","WAUMetro","WAUCoast","WAUInner","OTHMetro","OTHNoMet"
9047.0953969,8565.6778903,5818.028804,2679.5379629,2977.5066618,12106.0523764,2748.3736889,2137.234012,2881.3717865,2591.9972177,894.8772938,7490.3816491,2442.0048133,3381.9721825,5326.655137,3075.7789409,3066.5550699,694.9953721,3437.9239454,2073.469372
6962.1258898,7124.4683616,2466.4367059,3010.7321547,3477.7027168,7786.6866879,4040.9152564,2269.5956188,2124.7355768,1375.7801276,979.2508843,5198.1780817,960.5047034,1827.9401001,4441.1185744,2154.9288137,3334.4054076,557.679575,2677.0811074,1787.9385191
6871.9630475,4716.8931164,1928.0528335,3328.8690045,3014.7703307,11380.0236162,5343.9643467,4890.2270203,2284.8702356,1079.5415418,980.3288525,5244.2173627,755.9743799,1351.9521199,3815.6453017,2787.2861739,4365.8440909,1006.1844166,3793.7428873,2345.0206343
7147.2926116,6269.2990649,2797.5559735,2417.7722355,3757.972112,9311.4602716,4260.4188782,2621.5481648,1785.8889683,1497.6639509,1509.4342641,6274.2456066,1271.6039696,1493.4147962,3859.5671451,2752.9098415,4521.9957285,1172.5514471,3304.2310816,1943.6887214
7956.9228143,9493.901336,4853.6806796,3224.2854282,3790.7599002,12671.9415292,4186.1132625,2483.2025398,2293.8725881,2247.6839524,963.522662,9187.4215532,2385.058308,2896.9288926,4588.7552092,3519.5643742,3579.3465925,398.1829092,3510.8187276,2165.8378701
6542.2432631,5401.2013894,2759.843103,2428.489038,3395.2839388,9582.96509,4237.8064976,3377.8304692,2197.4181672,1672.8022587,996.8803354,4992.3029263,1328.863781,1547.9014299,4070.4005402,3160.4296819,3408.5328827,596.0181615,2871.8674937,1803.9396812
6330.3640784,5542.6258237,2041.8266248,2893.2734816,3626.1200939,11192.9687486,6414.5993729,5577.9590939,2033.5130797,1104.7027992,1057.6872317,4746.4827339,758.8587432,914.0969917,4114.4887568,2707.7264934,3979.3141922,951.4561603,3833.2309079,1612.6552162
7509.21219,6383.4736317,2650.6772206,2814.5780169,3691.4980271,9871.1082518,3710.4976825,4279.066329,2252.6205439,1503.2421182,770.5422248,4684.5318681,942.279427,1341.6071775,3723.3631147,2294.0648969,3364.6815416,832.4045797,3143.405657,1652.280397
7662.4905024,8337.0080096,5367.951355,2553.0720615,3135.8340131,11709.8513463,3800.1439657,2909.8534748,3199.7961812,2480.801194,1066.6867119,8449.0467642,2227.1103883,2681.8754616,4958.0029594,3606.98809,3728.5020047,548.1368318,4126.2484116,2026.803439
6341.801885,4923.4761714,3460.7945337,2368.2105895,2824.6040466,9357.7765279,4182.8551827,2415.3958177,1967.2847841,1892.4877914,751.6705472,5391.7241444,1013.7119517,1429.5228567,4186.4977467,2812.3064427,3340.7954134,612.6219375,3032.59782,1716.1138922
7827.300649,5134.4912284,1606.1728533,2934.8929747,3390.6751543,11363.5328363,4173.0562468,5428.6818379,1974.4315724,1196.3883209,1607.9280233,4921.8120105,717.5116952,1196.36145,3765.293375,1835.9131918,3755.4498145,656.8117344,4203.9693324,1748.9917105
9579.5622259,6389.8878082,2563.2538883,2561.2722262,2946.215151,9923.9230074,4192.2146611,3730.4053772,2379.0255949,1308.0822567,1025.5240299,5884.1526044,1104.6217627,1806.9715306,3827.2408015,3294.7109566,2906.9490816,1092.5981758,3426.2929257,1883.5133912
8270.4883892,8259.3983426,4913.8456938,2378.1075896,3117.0188359,11281.0723911,3781.164254,2111.3658461,2498.9233949,2386.2271041,974.2663082,8894.2672623,2354.467896,2727.9212213,4610.1996119,2733.9892032,2737.2048847,730.1630741,2919.3465271,1867.3941789
7240.426634,5442.6688179,3143.754048,2881.2883039,2967.4602041,8812.2947344,5061.5893165,2888.6206487,1830.6939182,1564.4546732,1109.9215034,5724.4318264,1071.6824169,1370.4441794,3939.6839358,2598.8650549,3633.6536662,599.4801068,3413.3701183,1853.5695158
6640.4896461,5767.4281126,1776.0689651,2470.9182833,3111.2544234,11639.739211,5086.3590537,4467.7462929,2094.0400926,1032.7246171,1031.9446539,5562.0257163,711.0843791,1242.4390688,3927.555112,2520.2678396,3550.4968837,860.4461721,3461.5602467,1961.2570044
7111.8747783,5611.9100746,2437.9883115,2508.2590693,2778.671178,11172.0685765,4217.2687927,3841.9496582,2226.9332914,1532.7468436,988.4082618,6807.2516185,892.2900678,1382.5742178,3893.688142,2853.196408,3933.3199172,1006.3038818,3102.4146765,1411.2940964
6827.8257096,9504.84267,4503.6775622,2539.1493242,3246.0549461,12252.6131312,4405.2659453,2474.7317587,2461.2310967,2211.1094163,684.6369189,7903.8710618,2096.7921963,2891.7124138,5550.1542748,3706.9241064,3815.2831429,1000.6523127,3195.7842142,1999.5952655
6404.9920352,6032.5248872,2738.9893225,2325.2628477,3182.4639957,8556.3812608,3262.6108187,2406.9786868,2421.7140742,1601.2054433,843.7066734,4735.4407689,1232.337425,1814.8167389,4100.6518302,2308.934756,3217.1023699,1098.8115619,2816.7046844,1846.5321916
6615.7601335,5824.0364124,2597.074341,3618.0771257,3550.7220564,11348.9670231,6493.2431975,4786.7548654,2394.1832924,1173.7385401,1287.1040369,5815.4555289,879.0911113,976.1707142,4143.9040928,2381.5295529,3926.5137976,797.6716895,3733.359317,1749.3738045
7226.3764749,6521.765428,3036.1038506,2556.5700283,3654.7100698,11991.5508409,4357.7796769,3011.368126,2182.7575687,1664.3548311,1146.9908032,6731.2909587,1107.588413,1799.4383847,4190.439408,2510.4062253,3696.8019118,738.2546088,3861.2576743,2000.5126599
7589.0582523,8985.0478921,5347.3485696,2645.3023789,2530.0925019,14289.795606,3259.3485406,2372.9677404,2454.0078014,2841.8903076,881.3219876,7953.0030108,2027.1965726,2668.525957,4616.6697196,3146.4837924,3550.069562,886.7688204,2802.4228591,2179.9168731
6334.5271859,5586.26359,2468.4390207,2613.1923596,3022.6127843,9895.2403005,3810.4706952,2911.0530931,2112.3468784,1894.3733663,1133.9967772,6019.6864828,1190.7985049,1589.4159182,4580.5582663,2348.2007333,3075.9723876,648.429123,3338.4876468,1803.2189825
5996.7475196,5458.0921119,1839.5350605,3028.6057679,3138.2558479,11397.57768,6107.8510184,5008.2575939,2358.9654375,1339.3934694,1094.8032099,4885.0576293,843.7204299,1187.9482138,4245.5651397,2393.1097567,4703.0736927,878.7379402,3193.4933612,1600.4936397
6612.8461653,6451.381762,2790.800558,2592.1560951,2748.9808658,11109.9624851,3873.5707217,4253.4786365,1900.7791821,1636.6452765,1223.9517102,6203.7787835,942.9980216,1604.5466331,3915.378095,2547.9275124,3663.2871714,1516.986494,3218.3147998,2003.3628621
